network,condition,model,naming,n_pairs,n_pairs_ok,n_k,n_asked,assert_rate,k_accuracy,n_k_wrong,k_g0,shd_truth,g0_status,median_AUC_frac,median_AUC_frac_contra_as_fail,median_radius,n_radius_ok
Polzer_2012,D_LLM_INSTR,qwen2.5:7b-instruct,real,49,12,2,9,0.2222222222222222,0.5,1,5,6,ok,0.3451,0.3451,2.0,12
Polzer_2012,D_LLM_SRC,llama3.1:8b,real,49,18,4,9,0.4444444444444444,0.75,1,6,5,ok,0.4293,0.4293,1.0,18
Polzer_2012,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,49,43,8,9,0.8888888888888888,0.875,1,8,3,ok,0.24368884470692587,0.0831,1,43
Polzer_2012,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,49,33,5,9,0.5555555555555556,0.6,2,6,9,ok,0.24889381953823397,0.08410000000000001,1,33
Polzer_2012,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,49,47,8,9,0.8888888888888888,0.75,2,9,4,ok,0.21254652458323692,0.0733,1,47
Schipf_2010,D_LLM,qwen2.5:7b-instruct,real,11,11,5,6,0.8333333333333334,1.0,0,6,0,ok,0.20593220338983048,0.12150000000000001,1,11
Schipf_2010,D_LLM_32B,Qwen2.5-32B-Instruct,real,11,11,6,6,1.0,1.0,0,6,0,ok,0.24740740740740738,0.1166,1,11
Schipf_2010,D_LLM_72B,Qwen2.5-72B-Instruct,real,11,11,6,6,1.0,1.0,0,6,0,ok,0.256,0.10939999999999998,1,11
Schipf_2010,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,11,11,5,6,0.8333333333333334,1.0,0,6,0,ok,0.2032258064516129,0.1197,1,11
Schipf_2010,D_LLM_GEMMA_27B,gemma-3-27b-it,real,11,11,4,6,0.6666666666666666,1.0,0,6,0,ok,0.10308724832214763,0.07680000000000001,1,11
Schipf_2010,D_LLM_INSTR,qwen2.5:7b-instruct,real,11,11,4,6,0.6666666666666666,1.0,0,6,0,ok,0.20302233902759528,0.1545,1,11
Schipf_2010,D_LLM_SRC,llama3.1:8b,real,11,6,4,6,0.6666666666666666,1.0,0,5,1,ok,0.4065660749506903,0.20339999999999997,1.0,6
Schipf_2010,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,11,1,1,6,0.16666666666666666,0.0,1,3,7,ok,0.0,0.0,2,1
Schipf_2010,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,11,2,4,6,0.6666666666666666,1.0,0,4,2,ok,0.9256,0.3294,1.0,2
Schipf_2010,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,11,7,5,6,0.8333333333333334,0.8,1,6,4,ok,0.19229508196721312,0.1173,1,7
Sebastiani_2005,D_LLM,qwen2.5:7b-instruct,real,5,4,4,7,0.5714285714285714,0.5,2,4,7,ok,0.4225,0.4225,1.0,4
Sebastiani_2005,D_LLM_32B,Qwen2.5-32B-Instruct,real,5,3,4,7,0.5714285714285714,0.75,1,4,5,ok,0.2244,0.2244,1,3
Sebastiani_2005,D_LLM_72B,Qwen2.5-72B-Instruct,real,5,4,7,7,1.0,0.5714285714285714,3,7,6,ok,0.35511442941667204,0.2974,1.0,4
Sebastiani_2005,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,5,3,6,7,0.8571428571428571,0.5,3,6,7,ok,0.3108948685857321,0.2732,1,3
Sebastiani_2005,D_LLM_GEMMA_27B,gemma-3-27b-it,real,5,4,7,7,1.0,0.42857142857142855,4,7,8,ok,0.3893605695029435,0.23354999999999998,1.0,4
Sebastiani_2005,D_LLM_INSTR,qwen2.5:7b-instruct,real,5,3,3,7,0.42857142857142855,0.3333333333333333,2,3,8,ok,0.43570000000000003,0.43570000000000003,1,3
Sebastiani_2005,D_LLM_SRC,llama3.1:8b,real,5,5,6,7,0.8571428571428571,1.0,0,6,1,ok,0.38016906412853535,0.3478,1,5
Sebastiani_2005,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,5,4,6,7,0.8571428571428571,0.6666666666666666,2,6,5,ok,0.31571659947494346,0.2771,1.0,4
Sebastiani_2005,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,5,2,5,7,0.7142857142857143,0.8,1,5,4,ok,0.4116966136375263,0.3819,1.0,2
Sebastiani_2005,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,5,1,3,7,0.42857142857142855,1.0,0,3,4,ok,0.653,0.3265,1,1
Shrier_2008,D_LLM,qwen2.5:7b-instruct,real,7,7,2,3,0.6666666666666666,1.0,0,3,0,ok,0.3416,0.3416,1,7
Shrier_2008,D_LLM_32B,Qwen2.5-32B-Instruct,real,7,7,3,3,1.0,1.0,0,3,0,ok,0.40295857988165684,0.2712,1,7
Shrier_2008,D_LLM_72B,Qwen2.5-72B-Instruct,real,7,4,2,3,0.6666666666666666,1.0,0,2,1,ok,0.3458,0.3458,1.0,4
Shrier_2008,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,7,7,3,3,1.0,1.0,0,3,0,ok,0.38755760368663594,0.2523,1,7
Shrier_2008,D_LLM_GEMMA_27B,gemma-3-27b-it,real,7,4,2,3,0.6666666666666666,1.0,0,2,1,ok,0.33809999999999996,0.33809999999999996,1.0,4
Shrier_2008,D_LLM_INSTR,qwen2.5:7b-instruct,real,7,3,1,3,0.3333333333333333,1.0,0,1,2,ok,0.0,0.0,1,3
Shrier_2008,D_LLM_SRC,llama3.1:8b,real,7,7,3,3,1.0,1.0,0,3,0,ok,0.4026715483033736,0.2644,1,7
Shrier_2008,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,7,7,3,3,1.0,1.0,0,3,0,ok,0.40031103139328883,0.2704,1,7
Shrier_2008,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,7,3,1,3,0.3333333333333333,1.0,0,1,2,ok,0.0,0.0,1,3
Shrier_2008,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,7,4,2,3,0.6666666666666666,0.5,1,2,3,ok,0.481,0.3367,1.0,4
arth150,D_LLM,qwen2.5:7b-instruct,real,6,0,14,39,0.358974358974359,1.0,0,,,o_g0_extensions_intractable,,,,0
arth150,D_LLM_32B,Qwen2.5-32B-Instruct,real,6,0,18,39,0.46153846153846156,1.0,0,,,o_g0_extensions_intractable,,,,0
arth150,D_LLM_72B,Qwen2.5-72B-Instruct,real,6,0,18,39,0.46153846153846156,0.8888888888888888,2,,,o_g0_extensions_intractable,,,,0
arth150,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,6,0,18,39,0.46153846153846156,0.8888888888888888,2,,,o_g0_extensions_intractable,,,,0
arth150,D_LLM_GEMMA_27B,gemma-3-27b-it,real,6,0,4,39,0.10256410256410256,0.5,2,,,o_g0_extensions_intractable,,,,0
arth150,D_LLM_INSTR,qwen2.5:7b-instruct,real,6,0,3,39,0.07692307692307693,0.6666666666666666,1,,,o_g0_extensions_intractable,,,,0
arth150,D_LLM_SRC,llama3.1:8b,real,6,3,24,39,0.6153846153846154,0.9166666666666666,2,35,16,ok,0.06826347305389222,0.0114,1,3
arth150,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,6,0,3,39,0.07692307692307693,0.6666666666666666,1,,,o_g0_extensions_intractable,,,,0
arth150,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,6,0,2,39,0.05128205128205128,0.5,1,,,o_g0_extensions_intractable,,,,0
arth150,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,6,0,8,39,0.20512820512820512,1.0,0,,,o_g0_extensions_intractable,,,,0
asia,D_LLM,qwen2.5:7b-instruct,real,2,2,3,3,1.0,1.0,0,3,0,ok,0.58325,0.43345,1.0,2
asia,D_LLM_32B,Qwen2.5-32B-Instruct,real,2,2,3,3,1.0,1.0,0,3,0,ok,0.5815,0.43755,1.0,2
asia,D_LLM_72B,Qwen2.5-72B-Instruct,real,2,2,3,3,1.0,1.0,0,3,0,ok,0.5840000000000001,0.43479999999999996,1.0,2
asia,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,2,2,3,3,1.0,1.0,0,3,0,ok,0.5814999999999999,0.42884999999999995,1.0,2
asia,D_LLM_GEMMA_27B,gemma-3-27b-it,real,2,2,3,3,1.0,1.0,0,3,0,ok,0.58,0.42795,1.0,2
asia,D_LLM_INSTR,qwen2.5:7b-instruct,real,2,0,1,3,0.3333333333333333,1.0,0,1,2,optimal_set_undefined,,,,0
asia,D_LLM_SRC,llama3.1:8b,real,2,1,2,3,0.6666666666666666,1.0,0,2,1,ok,0.3612,0.3612,1,1
asia,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,2,2,3,3,1.0,1.0,0,3,0,ok,0.5805,0.42905000000000004,1.0,2
asia,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,2,0,1,3,0.3333333333333333,1.0,0,1,2,optimal_set_undefined,,,,0
asia,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,2,2,2,3,0.6666666666666666,0.5,1,2,3,ok,0.35,0.16975,1.5,2
barley,D_LLM,qwen2.5:7b-instruct,real,85,65,7,9,0.7777777777777778,0.7142857142857143,2,7,6,ok,0.3657244121823876,0.1708,1,65
barley,D_LLM_32B,Qwen2.5-32B-Instruct,real,85,85,8,9,0.8888888888888888,1.0,0,9,0,ok,0.2951995164933197,0.1911,1,85
barley,D_LLM_72B,Qwen2.5-72B-Instruct,real,85,85,6,9,0.6666666666666666,0.8333333333333334,1,9,4,ok,0.32199251932401995,0.2812,1,85
barley,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,85,85,8,9,0.8888888888888888,1.0,0,9,0,ok,0.5925611865829732,0.2113,1,85
barley,D_LLM_GEMMA_27B,gemma-3-27b-it,real,85,44,5,9,0.5555555555555556,0.8,1,7,4,ok,0.3315704545454546,0.3034,1.0,44
barley,D_LLM_INSTR,qwen2.5:7b-instruct,real,85,58,3,9,0.3333333333333333,0.6666666666666666,1,5,8,ok,0.429,0.429,1.0,58
barley,D_LLM_SRC,llama3.1:8b,real,85,20,1,9,0.1111111111111111,1.0,0,2,7,ok,0.0,0.0,1.0,20
barley,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,85,33,4,9,0.4444444444444444,1.0,0,5,4,ok,0.2238,0.2238,1,33
barley,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,85,11,1,9,0.1111111111111111,1.0,0,1,8,ok,0.0,0.0,1,11
barley,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,85,33,4,9,0.4444444444444444,1.0,0,5,4,ok,0.2319,0.2319,1,33
child,D_LLM,qwen2.5:7b-instruct,real,18,10,1,12,0.08333333333333333,0.0,1,10,8,ok,0.0,0.0,3.0,10
child,D_LLM_32B,Qwen2.5-32B-Instruct,real,18,13,7,12,0.5833333333333334,1.0,0,8,4,ok,0.5309998531002524,0.11979999999999999,1,13
child,D_LLM_72B,Qwen2.5-72B-Instruct,real,18,17,8,12,0.6666666666666666,1.0,0,9,3,ok,0.9821664464993395,0.0776,1,17
child,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,18,17,10,12,0.8333333333333334,0.9,1,12,2,ok,0.9276930894308943,0.0324,2,17
child,D_LLM_GEMMA_27B,gemma-3-27b-it,real,18,17,10,12,0.8333333333333334,0.9,1,12,2,ok,0.9710333515582285,0.0392,2,17
child,D_LLM_INSTR,qwen2.5:7b-instruct,real,18,13,5,12,0.4166666666666667,1.0,0,7,5,ok,0.925278810408922,0.2008,1,13
child,D_LLM_SRC,llama3.1:8b,real,18,17,4,12,0.3333333333333333,0.75,1,12,2,ok,0.7664077669902912,0.28890000000000005,2,17
child,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,18,17,11,12,0.9166666666666666,0.9090909090909091,1,12,2,ok,0.9686411149825783,0.0317,2,17
child,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,18,17,4,12,0.3333333333333333,0.75,1,11,7,ok,0.768958742632613,0.17850000000000002,3,17
child,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,18,11,10,12,0.8333333333333334,0.8,2,12,6,ok,0.9569166666666666,0.0424,3,11
diabetes,D_LLM,qwen2.5:7b-instruct,real,89,0,8,14,0.5714285714285714,1.0,0,,,o_g0_extensions_intractable,,,,0
diabetes,D_LLM_32B,Qwen2.5-32B-Instruct,real,89,0,3,14,0.21428571428571427,0.3333333333333333,2,,,o_g0_extensions_intractable,,,,0
diabetes,D_LLM_72B,Qwen2.5-72B-Instruct,real,89,56,14,14,1.0,0.14285714285714285,12,14,36,ok,0.42377984704509986,0.3639,1.0,56
diabetes,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,89,0,13,14,0.9285714285714286,0.07692307692307693,12,,,o_g0_extensions_intractable,,,,0
diabetes,D_LLM_GEMMA_27B,gemma-3-27b-it,real,89,0,13,14,0.9285714285714286,0.38461538461538464,8,,,o_g0_extensions_intractable,,,,0
diabetes,D_LLM_INSTR,qwen2.5:7b-instruct,real,89,0,5,14,0.35714285714285715,1.0,0,,,o_g0_extensions_intractable,,,,0
diabetes,D_LLM_SRC,llama3.1:8b,real,89,60,14,14,1.0,0.5714285714285714,6,14,24,ok,0.42419634167491294,0.36219999999999997,1.0,60
diabetes,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,89,63,14,14,1.0,0.9285714285714286,1,14,14,ok,0.4464840473323431,0.3594,1,63
diabetes,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,89,0,8,14,0.5714285714285714,0.375,5,,,o_g0_extensions_intractable,,,,0
diabetes,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,89,0,2,14,0.14285714285714285,1.0,0,,,o_g0_extensions_intractable,,,,0
ecoli70,D_LLM,qwen2.5:7b-instruct,real,22,2,10,25,0.4,0.3,7,13,26,ok,0.07095238095238096,0.031799999999999995,1.0,2
ecoli70,D_LLM_32B,Qwen2.5-32B-Instruct,real,22,14,23,25,0.92,0.7391304347826086,6,24,13,ok,0.9715223097112862,0.0241,1.0,14
ecoli70,D_LLM_72B,Qwen2.5-72B-Instruct,real,22,16,21,25,0.84,0.6666666666666666,7,25,16,ok,0.7601336955918276,0.0262,2.0,16
ecoli70,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,22,0,3,25,0.12,0.6666666666666666,1,,,o_g0_extensions_intractable,,,,0
ecoli70,D_LLM_GEMMA_27B,gemma-3-27b-it,real,22,14,15,25,0.6,0.7333333333333333,4,22,13,ok,0.8872011784511784,0.0318,2.0,14
ecoli70,D_LLM_INSTR,qwen2.5:7b-instruct,real,22,0,5,25,0.2,0.2,4,,,o_g0_extensions_intractable,,,,0
ecoli70,D_LLM_SRC,llama3.1:8b,real,22,0,4,25,0.16,0.25,3,,,o_g0_extensions_intractable,,,,0
ecoli70,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,22,6,16,25,0.64,0.625,6,17,22,ok,0.9037495590828923,0.0225,2.0,6
ecoli70,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,22,17,13,25,0.52,0.46153846153846156,7,23,20,ok,0.4589223683243537,0.08990000000000001,2,17
ecoli70,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,22,12,19,25,0.76,0.631578947368421,7,22,19,ok,0.9775864102866579,0.023100000000000002,2.0,12
hailfinder,D_LLM,qwen2.5:7b-instruct,real,11,5,13,17,0.7647058823529411,0.9230769230769231,1,13,6,ok,0.93,0.093,1,5
hailfinder,D_LLM_32B,Qwen2.5-32B-Instruct,real,11,0,0,17,0.0,,0,,,n_k_zero,,,,0
hailfinder,D_LLM_72B,Qwen2.5-72B-Instruct,real,11,0,0,17,0.0,,0,,,n_k_zero,,,,0
hailfinder,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,11,0,0,17,0.0,,0,,,n_k_zero,,,,0
hailfinder,D_LLM_GEMMA_27B,gemma-3-27b-it,real,11,0,0,17,0.0,,0,,,n_k_zero,,,,0
hailfinder,D_LLM_INSTR,qwen2.5:7b-instruct,real,11,11,17,17,1.0,0.9411764705882353,1,17,2,ok,,0.0,1,11
hailfinder,D_LLM_SRC,llama3.1:8b,real,11,11,14,17,0.8235294117647058,1.0,0,17,0,ok,1.0,0.0087,2,11
hailfinder,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,11,11,17,17,1.0,1.0,0,17,0,ok,0.9444444444444444,0.011899999999999999,2,11
hailfinder,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,11,3,5,17,0.29411764705882354,1.0,0,5,12,ok,0.8,0.24000000000000005,1,3
hailfinder,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,11,11,17,17,1.0,0.9411764705882353,1,17,2,ok,,0.0,1,11
hepar2,D_LLM,qwen2.5:7b-instruct,real,8,5,5,7,0.7142857142857143,0.6,2,5,8,ok,0.3328204545454545,0.3065,1,5
hepar2,D_LLM_32B,Qwen2.5-32B-Instruct,real,8,7,7,7,1.0,0.7142857142857143,2,7,6,ok,0.22375072463768117,0.202,1,7
hepar2,D_LLM_72B,Qwen2.5-72B-Instruct,real,8,7,7,7,1.0,0.7142857142857143,2,7,6,ok,0.2117266409266409,0.192,1,7
hepar2,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,8,7,7,7,1.0,0.5714285714285714,3,7,8,ok,0.2988991317622031,0.10429999999999999,1,7
hepar2,D_LLM_GEMMA_27B,gemma-3-27b-it,real,8,7,7,7,1.0,0.8571428571428571,1,7,4,ok,0.22135141700404856,0.1981,1,7
hepar2,D_LLM_INSTR,qwen2.5:7b-instruct,real,8,5,3,7,0.42857142857142855,0.6666666666666666,1,3,8,ok,0.42350000000000004,0.42350000000000004,1,5
hepar2,D_LLM_SRC,llama3.1:8b,real,8,7,7,7,1.0,0.8571428571428571,1,7,4,ok,0.21684324324324322,0.196,1,7
hepar2,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,8,7,7,7,1.0,0.7142857142857143,2,7,6,ok,0.296230574980575,0.10429999999999999,1,7
hepar2,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,8,5,3,7,0.42857142857142855,0.6666666666666666,1,3,8,ok,0.42469999999999997,0.42469999999999997,1,5
hepar2,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,8,2,5,7,0.7142857142857143,1.0,0,5,4,ok,0.807,0.24210000000000004,1.0,2
insurance,D_LLM,qwen2.5:7b-instruct,real,95,9,5,18,0.2777777777777778,1.0,0,7,11,ok,0.808,0.24240000000000003,2,9
insurance,D_LLM_32B,Qwen2.5-32B-Instruct,real,95,0,8,18,0.4444444444444444,1.0,0,8,10,optimal_set_undefined,,,,0
insurance,D_LLM_72B,Qwen2.5-72B-Instruct,real,95,90,14,18,0.7777777777777778,0.9285714285714286,1,18,2,ok,0.585,0.014599999999999998,1.0,90
insurance,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,95,48,6,18,0.3333333333333333,0.8333333333333334,1,15,9,ok,0.6279006238694673,0.0629,2.0,48
insurance,D_LLM_GEMMA_27B,gemma-3-27b-it,real,95,0,0,18,0.0,,0,,,n_k_zero,,,,0
insurance,D_LLM_INSTR,qwen2.5:7b-instruct,real,95,93,5,18,0.2777777777777778,0.8,1,18,8,ok,0.39663461538461536,0.1431,3,93
insurance,D_LLM_SRC,llama3.1:8b,real,95,90,10,18,0.5555555555555556,0.9,1,18,2,ok,0.6412928697966415,0.0318,1.0,90
insurance,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,95,72,9,18,0.5,1.0,0,16,2,ok,0.7344674123811583,0.0563,2.0,72
insurance,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,95,68,6,18,0.3333333333333333,0.8333333333333334,1,16,8,ok,0.45827338129496403,0.0873,2.0,68
insurance,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,95,46,9,18,0.5,0.8888888888888888,1,13,7,ok,0.7332706459951912,0.0619,1.0,46
magic-irri,D_LLM,qwen2.5:7b-instruct,real,11,9,7,11,0.6363636363636364,0.42857142857142855,4,8,12,ok,0.4649,0.4649,1,9
magic-irri,D_LLM_32B,Qwen2.5-32B-Instruct,real,11,6,3,11,0.2727272727272727,0.0,3,4,14,ok,0.4892454156975171,0.36610000000000004,1.5,6
magic-irri,D_LLM_72B,Qwen2.5-72B-Instruct,real,11,11,7,11,0.6363636363636364,0.2857142857142857,5,8,14,ok,0.4513415533500072,0.3554,1,11
magic-irri,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,11,11,9,11,0.8181818181818182,0.4444444444444444,5,9,13,ok,0.45122007486602705,0.25529999999999997,1,11
magic-irri,D_LLM_GEMMA_27B,gemma-3-27b-it,real,11,11,11,11,1.0,0.36363636363636365,7,11,15,ok,0.2878726122341272,0.1859,1,11
magic-irri,D_LLM_INSTR,qwen2.5:7b-instruct,real,11,11,7,11,0.6363636363636364,0.2857142857142857,5,8,14,ok,0.33602142990569767,0.2678,1,11
magic-irri,D_LLM_SRC,llama3.1:8b,real,11,11,11,11,1.0,0.36363636363636365,7,11,15,ok,0.40728423573294925,0.25329999999999997,1,11
magic-irri,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,11,6,3,11,0.2727272727272727,0.0,3,4,14,ok,0.49536992524312523,0.36519999999999997,1.5,6
magic-irri,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,11,5,7,11,0.6363636363636364,0.42857142857142855,4,7,13,ok,0.4505,0.4505,1,5
magic-irri,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,11,6,3,11,0.2727272727272727,0.0,3,4,14,ok,0.5128033600915904,0.3788,1.5,6
magic-niab,D_LLM,qwen2.5:7b-instruct,real,21,16,4,10,0.4,0.5,2,5,9,ok,0.40264471995241224,0.2935,1.0,16
