arm,status,in_balanced_panel,network,x,y,radius,r_status,shd_truth,n_k,k_g0,AUC_frac,AUC_frac_usable,endpoint_gap,AUC_frac_contra_as_fail,endpoint_contra_gap,n_grid_points_S_defined,contradiction_rate_at_d1,median_contradiction_rate,n_grid_points,n_grid_points_usable,n_grid_points_censored,endpoint_censored,min_n_eval,median_n_eval,separation,separation_status,largest_component_size,component_size,dispatch_leg,gate,assumes,shard_id,frame_row_id,condition,model,family,naming,elicit_arm,n_asked,n_asserted,assert_rate,k_accuracy,n_k_correct,n_k_wrong,n_declined,n_parse_fail,n_not_reached,n_off_skeleton,k_source,radius_committed_programmatic_k
llm,ok,False,Didelez_2010,Occ,HRT,1,ok,0,2,3,0.0,0.0,0.0,0.0,0.0,2,0.523,0.2615,2,2,0,False,477,738.5,1,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,f2e41783c91b4dfa,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,1
llm,ok,False,Didelez_2010,Occ,S,1,ok,0,2,3,0.0,0.0,0.0,0.0,0.0,2,0.523,0.2615,2,2,0,False,477,738.5,1,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,aca165b64d0ff084,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,1
llm,ok,False,Didelez_2010,Occ,TCI,1,ok,0,2,3,0.0,0.0,0.0,0.0,0.0,2,0.523,0.2615,2,2,0,False,477,738.5,1,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,a8ef449112a6f518,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,1
llm,ok,False,Didelez_2010,Smo,HRT,2,ok,0,2,3,0.7,0.7,0.0,0.3339,0.3661,2,0.523,0.2615,2,2,0,False,477,738.5,2,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,e914720ddf250e94,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,2
llm,ok,False,Didelez_2010,Smo,S,2,ok,0,2,3,0.7,0.7,0.0,0.3339,0.3661,2,0.523,0.2615,2,2,0,False,477,738.5,2,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,f81f1f997b9ce346,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,2
llm,ok,False,Didelez_2010,Smo,TCI,2,ok,0,2,3,0.7,0.7,0.0,0.3339,0.3661,2,0.523,0.2615,2,2,0,False,477,738.5,2,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,a9aac82169514f11,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,2
llm,ok,False,Didelez_2010,Thist,S,2,ok,0,2,3,0.3,0.3,0.0,0.3,0.0,2,0.523,0.2615,2,2,0,False,477,738.5,2,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,6fcac93be07c1921,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,2
llm,ok,False,Didelez_2010,Thist,TCI,2,ok,0,2,3,0.3,0.3,0.0,0.3,0.0,2,0.523,0.2615,2,2,0,False,477,738.5,2,measured,4,4,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Didelez_2010,7dc8ca6d39da58de,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,3,2,0.6666666666666666,1.0,2,0,1,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,ALN,DET,,,9,9,10,,,,,,0,,,0,0,0,False,,,2,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,c8a7f15eeb122746,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,ALN,EGC,,,9,9,10,,,,,,0,,,0,0,0,False,,,2,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,2e65302192e77850,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,ALN,FTW,,,9,9,10,,,,,,0,,,0,0,0,False,,,2,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,aeb88d6e26e82a3a,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,ALN,HOS,,,9,9,10,,,,,,0,,,0,0,0,False,,,2,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,e960a0e2d9d0d3db,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,ALN,SUS,,,9,9,10,,,,,,0,,,0,0,0,False,,,2,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,7c27bfa6389cf555,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,ok,True,Kampen_2014,CDR,DET,3,ok,9,9,10,0.9489923454257465,0.9116789125899256,0.03731343283582089,0.0772,0.8717923454257465,5,0.549,0.974,9,4,0,False,0,26,2,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,2f16bb99a077aef2,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,ok,False,Kampen_2014,PER,DET,2,ok,9,9,10,0.7317445462299035,0.7363369687327738,0.004592422502870286,0.07139999999999999,0.6603445462299035,5,0.549,0.974,9,4,0,False,0,26,1,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,9df869a9b4a4f58c,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,4
llm,optimal_set_undefined,False,Kampen_2014,ALN,APA,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,5321b4f1ad7dc3b5,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AFF,ALN,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,de6001c26c5baebe,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,AFF,APA,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,7020ab244c114e47,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,AFF,CDR,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,bd791a0417b72e0e,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,AFF,DET,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,272d0dcf0ee8c556,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AFF,EGC,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,073208870a2c578c,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AFF,FTW,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,78688abdcb6de300,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AFF,HOS,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,47ae952db8601550,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AFF,PER,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,8e17807da950c3a5,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Kampen_2014,AFF,SUS,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,9601d646636a3ff1,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AIS,AFF,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,5891ccfa6bf61892,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AIS,ALN,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,ebaf63d7d8d261fa,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AIS,APA,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,5de816923ee2acf5,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AIS,CDR,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,3ad437183d9904c9,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,ok,True,Kampen_2014,AIS,DET,3,ok,9,9,10,0.7608779921731295,0.8710961322420158,0.1102181400688863,0.0774,0.6834779921731294,5,0.549,0.974,9,4,0,False,0,26,1,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,05a9ead53e699099,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,ok,True,Kampen_2014,AIS,EGC,3,ok,9,9,10,0.7608779921731295,0.8710961322420158,0.1102181400688863,0.0774,0.6834779921731294,5,0.549,0.974,9,4,0,False,0,26,1,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,39f8c879d7bd97af,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,ok,True,Kampen_2014,AIS,FTW,3,ok,9,9,10,0.7608779921731295,0.8710961322420158,0.1102181400688863,0.0774,0.6834779921731294,5,0.549,0.974,9,4,0,False,0,26,1,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,d62a53f7a4d4474f,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,ok,True,Kampen_2014,AIS,HOS,3,ok,9,9,10,0.7608779921731295,0.8710961322420158,0.1102181400688863,0.0774,0.6834779921731294,5,0.549,0.974,9,4,0,False,0,26,1,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,f61e4e19c78d2a3c,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Kampen_2014,AIS,PER,,,9,9,10,,,,,,0,,,0,0,0,False,,,1,measured,7,7,,fast_gate,,llm__D_LLM_32B__Kampen_2014,775fdd0c8f25f507,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,ok,True,Kampen_2014,AIS,SUS,3,ok,9,9,10,0.7608779921731295,0.8710961322420158,0.1102181400688863,0.0774,0.6834779921731294,5,0.549,0.974,9,4,0,False,0,26,1,measured,7,7,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Kampen_2014,14323ffd4faeaf08,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,11,9,0.8181818181818182,0.5555555555555556,5,4,2,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Sport,Diabetes,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,9b6d986285cd2377,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,ok,False,Polzer_2012,Sport,Hypertension,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,670cc3a8811f112d,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,ok,False,Polzer_2012,Sport,Lipids,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,15c3e945d224bf3b,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,ok,False,Polzer_2012,Sport,Mortality,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,48ad9dd90754443a,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,ok,False,Polzer_2012,Sport,Obesity,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,814120da2c3b02ea,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,ok,False,Polzer_2012,Sport,Periodontitis,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,c4c4bd8e14a70013,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,ok,False,Polzer_2012,Sport,ToothLoss,1,ok,10,2,5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,560b0163683b6cd2,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,2
llm,optimal_set_undefined,False,Polzer_2012,Diabetes,Lipids,,,10,2,5,,,,,,0,,,0,0,0,False,,,1,measured,5,3,,fast_gate,,llm__D_LLM_32B__Polzer_2012,4f79d61a2208c4aa,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Polzer_2012,Diabetes,Periodontitis,,,10,2,5,,,,,,0,,,0,0,0,False,,,1,measured,5,3,,fast_gate,,llm__D_LLM_32B__Polzer_2012,d929172a1029de25,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Polzer_2012,Diabetes,ToothLoss,,,10,2,5,,,,,,0,,,0,0,0,False,,,1,measured,5,3,,fast_gate,,llm__D_LLM_32B__Polzer_2012,4b9c4979bc495870,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Alcohol,Diabetes,3,ok,10,2,5,0.7,0.7,0.0,0.7,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,abad5db5315c1011,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Alcohol,Hypertension,3,ok,10,2,5,0.7,0.7,0.0,0.7,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,9bc97d96d87f206d,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Alcohol,Lipids,3,ok,10,2,5,0.7,0.7,0.0,0.7,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,36f01cb9c1a7988c,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Alcohol,Mortality,3,ok,10,2,5,0.7,0.7,0.0,0.7,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,c82f1a3fc6c0e430,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Alcohol,Obesity,3,ok,10,2,5,0.7,0.7,0.0,0.7,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,70178f7aea4dd934,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,ok,False,Polzer_2012,Alcohol,Periodontitis,3,ok,10,2,5,0.7,0.7,0.0,0.7,0.0,2,0.0,0.0,2,2,0,False,1000,1000.0,1,measured,5,5,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",llm__D_LLM_32B__Polzer_2012,1bf964c4b53ce1ce,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Polzer_2012,Alcohol,Smoking,,,10,2,5,,,,,,0,,,0,0,0,False,,,1,measured,5,5,,fast_gate,,llm__D_LLM_32B__Polzer_2012,9908a3bf3019f2d6,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
llm,optimal_set_undefined,False,Polzer_2012,Alcohol,Sport,,,10,2,5,,,,,,0,,,0,0,0,False,,,1,measured,5,5,,fast_gate,,llm__D_LLM_32B__Polzer_2012,8bb7840a58f00d97,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,9,2,0.2222222222222222,0.0,0,2,3,0,0,0,knowledge.json,1
