network,source_file,sha256,source_format,n_nodes,n_edges,is_dag,n_undirected_edges,undirected_fraction,n_components,max_component_size,n_components_ge3,n_components_ge6,n_nodes_in_components,seconds_to_cpdag
munin,munin.bif.gz,97e26c9dbf0635008434438084e94ca20250984b1c769f4666fed6bf912c3eae,bif,1041,1397,True,22,0.015748031496062992,10,5,6,0,32,7.526
munin1,munin1.bif.gz,d1917abbba1064e6b75f90bf9eb07d76779237b4a0698aecaac6d5b8bdfe1b2c,bif,186,273,True,8,0.029304029304029304,2,6,2,1,10,0.065
munin2,munin2.bif.gz,4679fae4e67ee892eb2fd94437777d8d8adc8fea97205065ec7f20aec0396f1a,bif,1003,1244,True,102,0.0819935691318328,21,35,11,3,123,19.88
munin3,munin3.bif.gz,4eb186935c12d47869d36403ab813af97d34b88dde66b79c0047386445058bf5,bif,1041,1306,True,78,0.05972434915773354,11,35,3,3,89,21.804
munin4,munin4.bif.gz,d01410d1f04631462927b160a518a030cf5f24ca57cdbbc259f29d84836d955b,bif,1038,1388,True,22,0.01585014409221902,10,5,6,0,32,7.591
pathfinder,pathfinder.bif.gz,1b23ccf9d398471c1c8e6353e8d11d8e3579537adc6bbbf535806d781f6e8e7f,bif,109,195,True,122,0.6256410256410256,3,85,1,1,89,1.157
paths,paths.txt,6f7cd96cb402ddae8315cc966e1d3926d847c11bbf486b611cbff96eee4026b9,dagitty,17,19,True,14,0.7368421052631579,1,15,1,1,15,0.0
pigs,pigs.bif.gz,618c72433d8814e5197f78938e9ef75cf91dfb9a7463952682b3703c8eef68f1,bif,441,592,True,0,0.0,0,0,0,0,0,0.033
sachs,sachs.bif.gz,ed1830fbde101ed50cce3c7a3c8cbf1d2f5225531cf35ff09fb3cec0af101bce,bif,11,17,True,17,1.0,2,8,2,1,11,0.0
survey,survey.bif.gz,676e1fe97efec18b31d1a0a3bcd9b7d52985129c60a78b69172c99e82902ef96,bif,6,6,True,0,0.0,0,0,0,0,0,0.0
water,water.bif.gz,5d506713902c9ea625fae7cd84d0a6f9fad980d5cca926281adeecdd0c039db3,bif,32,66,True,6,0.09090909090909091,2,4,2,0,8,0.001
win95pts,win95pts.bif.gz,a4987cf8c09d3aa034504b03ea3e5dc01c57ca20228e2bd79ec9a861c3aef684,bif,76,112,True,12,0.10714285714285714,6,4,2,0,16,0.002
