arm,base_wrongness,coverage,n_tiers,predictor,bucket,endpoint,n,median_endpoint_value,mean_endpoint_value
flip,0.25,1.0,,r_val,1,AUC_frac,18,0.19539751407129455,0.2884917396066983
flip,0.25,1.0,,r_val,2,AUC_frac,37,0.3549019607843137,0.47426807736071674
flip,0.25,1.0,,r_val,3,AUC_frac,21,0.4008658008658009,0.521619814252856
flip,0.25,1.0,,r_val,4,AUC_frac,33,0.7,0.6302391562685677
flip,0.25,1.0,,r_val,5+,AUC_frac,25,0.6,0.6643809523809523
tiered,,,2.0,r_val,1,AUC_frac_rate,58,0.7012946847313632,0.6762288418801523
tiered,,,2.0,r_val,2,AUC_frac_rate,39,0.8195597138671292,0.804018875859884
tiered,,,2.0,r_val,3,AUC_frac_rate,31,0.9137328643578644,0.9039040851989493
tiered,,,2.0,r_val,4,AUC_frac_rate,22,0.9515418115118265,0.9499033507152134
tiered,,,2.0,r_val,5+,AUC_frac_rate,40,0.9790404040404042,0.9712231392345029
tiered,,,3.0,r_val,1,AUC_frac_rate,78,0.7781681351978305,0.7774783338283866
tiered,,,3.0,r_val,2,AUC_frac_rate,33,0.9216256144325636,0.919176295986046
tiered,,,3.0,r_val,3,AUC_frac_rate,28,0.975025020477194,0.9650423771817358
tiered,,,3.0,r_val,4,AUC_frac_rate,37,0.9715279162843884,0.9726886148292514
tiered,,,3.0,r_val,5+,AUC_frac_rate,62,1.0,0.9984793528743212
tiered,,,4.0,r_val,1,AUC_frac_rate,80,0.812047998806123,0.7940676265486835
tiered,,,4.0,r_val,3,AUC_frac_rate,40,0.9609537790757885,0.9577048625489819
tiered,,,4.0,r_val,4,AUC_frac_rate,33,1.0,0.9908437708898741
tiered,,,4.0,r_val,5+,AUC_frac_rate,87,1.0,0.9988955429035723
flip,0.0,0.5,,shd_truth,0,AUC_frac,25,0.8,0.6243375931336143
flip,0.0,0.5,,shd_truth,1,AUC_frac,55,0.7,0.5702240777478146
flip,0.0,0.5,,shd_truth,2,AUC_frac,51,0.8,0.6878509578699353
flip,0.0,0.5,,shd_truth,3,AUC_frac,59,0.7,0.6906519292041396
flip,0.0,0.5,,shd_truth,4,AUC_frac,9,0.7789090909090909,0.712441089637366
flip,0.0,0.5,,shd_truth,5+,AUC_frac,41,0.9,0.851829268292683
flip,0.1,0.5,,shd_truth,0,AUC_frac,20,0.5559964495214572,0.5589428324811508
flip,0.1,0.5,,shd_truth,1,AUC_frac,41,0.7870588235294118,0.6374201873654622
flip,0.1,0.5,,shd_truth,2,AUC_frac,35,0.7,0.6259455851254454
flip,0.1,0.5,,shd_truth,3,AUC_frac,57,0.7,0.7334364600825716
flip,0.1,0.5,,shd_truth,4,AUC_frac,17,0.5892096774193549,0.5112677452755924
flip,0.1,0.5,,shd_truth,5+,AUC_frac,70,0.7,0.6929978186341184
flip,0.25,0.5,,shd_truth,0,AUC_frac,5,0.4800000000000001,0.40099999999999997
flip,0.25,0.5,,shd_truth,1,AUC_frac,7,0.7,0.7000000000000001
flip,0.25,0.5,,shd_truth,2,AUC_frac,18,0.6499999999999999,0.6244815744851123
flip,0.25,0.5,,shd_truth,3,AUC_frac,51,0.7,0.6131056015214797
flip,0.25,0.5,,shd_truth,4,AUC_frac,25,0.5369007803790413,0.48297721043204517
flip,0.25,0.5,,shd_truth,5+,AUC_frac,114,0.6,0.5378866302778154
flip,0.0,1.0,,shd_truth,0,AUC_frac,240,0.6375033179381006,0.6308105821740925
flip,0.1,1.0,,shd_truth,0,AUC_frac,39,0.9,0.7064063641312177
flip,0.1,1.0,,shd_truth,2,AUC_frac,197,0.6,0.5759295543217838
flip,0.25,1.0,,shd_truth,2,AUC_frac,40,0.7,0.5928942575303238
flip,0.25,1.0,,shd_truth,4,AUC_frac,80,0.4496428571428571,0.49142374340272743
flip,0.25,1.0,,shd_truth,5+,AUC_frac,14,0.45043290043290046,0.5766094619666049
tiered,,,2.0,shd_truth,2,AUC_frac_rate,47,0.7566307601564465,0.7867743135225659
tiered,,,2.0,shd_truth,3,AUC_frac_rate,46,0.8218425286400419,0.8153765773838144
tiered,,,2.0,shd_truth,4,AUC_frac_rate,41,0.9200937950937952,0.8738239232113769
tiered,,,2.0,shd_truth,5+,AUC_frac_rate,56,0.8760170761321657,0.857738192267572
tiered,,,3.0,shd_truth,1,AUC_frac_rate,48,0.9571113679454537,0.905897116760438
tiered,,,3.0,shd_truth,2,AUC_frac_rate,98,0.9732606666132672,0.9162172214164536
tiered,,,3.0,shd_truth,3,AUC_frac_rate,66,0.9735325313595073,0.9128418998867597
tiered,,,3.0,shd_truth,4,AUC_frac_rate,21,0.8314612286617635,0.8487899940858035
tiered,,,3.0,shd_truth,5+,AUC_frac_rate,5,0.9545454545454546,0.9096016844982007
tiered,,,4.0,shd_truth,0,AUC_frac_rate,52,0.941600779623639,0.9006157155518246
tiered,,,4.0,shd_truth,1,AUC_frac_rate,98,0.9970434113744533,0.93027880294816
tiered,,,4.0,shd_truth,2,AUC_frac_rate,74,0.9905702508276037,0.9286545650687298
tiered,,,4.0,shd_truth,3,AUC_frac_rate,13,1.0,0.9282112179585839
tiered,,,4.0,shd_truth,4,AUC_frac_rate,3,0.8589207865883051,0.8829459172228148
flip,0.0,0.5,,n_k,2,AUC_frac,34,0.7,0.6582352941176469
flip,0.0,0.5,,n_k,3,AUC_frac,20,0.8,0.6035909248965912
flip,0.0,0.5,,n_k,4,AUC_frac,87,0.8,0.7089071302369883
flip,0.0,0.5,,n_k,5+,AUC_frac,99,0.9,0.6869682601724001
flip,0.1,0.5,,n_k,2,AUC_frac,34,0.7,0.6588235294117647
flip,0.1,0.5,,n_k,3,AUC_frac,20,0.8,0.604332852354527
flip,0.1,0.5,,n_k,4,AUC_frac,88,0.8,0.7089091545380207
flip,0.1,0.5,,n_k,5+,AUC_frac,98,0.7,0.6260999424830725
flip,0.25,0.5,,n_k,2,AUC_frac,42,0.7,0.6644047619047618
flip,0.25,0.5,,n_k,3,AUC_frac,11,0.2461538461538461,0.23550646721699353
flip,0.25,0.5,,n_k,4,AUC_frac,95,0.6,0.5527632934350022
flip,0.25,0.5,,n_k,5+,AUC_frac,72,0.5,0.5527705015984365
flip,0.0,1.0,,n_k,5+,AUC_frac,240,0.6375033179381006,0.6308105821740925
flip,0.1,1.0,,n_k,5+,AUC_frac,236,0.6606043956043954,0.597491400010631
flip,0.25,1.0,,n_k,5+,AUC_frac,134,0.5988888888888888,0.53061344955943
tiered,,,2.0,n_k,1,AUC_frac_rate,111,0.9343313549195902,0.8866693602984782
tiered,,,2.0,n_k,2,AUC_frac_rate,29,0.7958067528544386,0.7747549160509626
tiered,,,2.0,n_k,3,AUC_frac_rate,30,0.743297219446978,0.7518158256347206
tiered,,,2.0,n_k,4,AUC_frac_rate,11,0.7399449717022768,0.750707692922964
tiered,,,2.0,n_k,5+,AUC_frac_rate,9,0.7234708294115894,0.738375996007036
tiered,,,3.0,n_k,2,AUC_frac_rate,92,1.0,0.976817716362622
tiered,,,3.0,n_k,3,AUC_frac_rate,29,0.9229437229437228,0.8783256545561712
tiered,,,3.0,n_k,4,AUC_frac_rate,33,0.9283046777151397,0.8862983124161523
tiered,,,3.0,n_k,5+,AUC_frac_rate,84,0.8459274372079006,0.8488808904393957
tiered,,,4.0,n_k,3,AUC_frac_rate,84,1.0,0.9938643452368574
tiered,,,4.0,n_k,4,AUC_frac_rate,17,0.9432790030308239,0.8888372989745452
tiered,,,4.0,n_k,5+,AUC_frac_rate,139,0.8870173222902399,0.8837447641393331
