network,source_file,sha256,source_format,n_nodes,n_undirected_edges,n_candidate_pairs_drawn,n_pairs_sampled,n_pairs_with_on_path_undirected_edge
hepar2,hepar2.bif.gz,f98d4a65c496b79d76b15797e6a6cbeafaff32a17d66a844d8e5b9506d379fcd,bif,70,9,200,25,3
insurance,insurance.bif.gz,92bcecd1b85387726af564bf1b50cd400ddbbea1b017303cc54d4654e50a8971,bif,27,18,200,50,21
link,link.bif.gz,5d09fd46f685fed1ba795f7cd944e1860938175c541826a2a342ffa5ec6ed1c5,bif,724,118,200,5,2
magic-irri,magic-irri.json,d592e1ed92ae08d8f7152cc8cfc607089b1f19680b4df79377166bf7dd561338,bnjson,64,12,200,13,3
magic-niab,magic-niab.json,1694a2ccae07a5cee0a1fa9e3131f3f2d552a79c825fddecfaa996624e629d6d,bnjson,44,10,200,12,3
mediator,mediator.txt,85a16ce8c3a839eeeb24cfb18809771c39dd3bd884a72b73c325a1b92245436e,dagitty,4,5,12,6,6
mildew,mildew.bif.gz,06f4342f1bef2eef67988b41382b327ca7bf4b308841534c9a3b3c48ff61189a,bif,35,0,200,46,0
munin,munin.bif.gz,97e26c9dbf0635008434438084e94ca20250984b1c769f4666fed6bf912c3eae,bif,1041,22,200,1,0
munin1,munin1.bif.gz,d1917abbba1064e6b75f90bf9eb07d76779237b4a0698aecaac6d5b8bdfe1b2c,bif,186,8,200,16,0
munin2,munin2.bif.gz,4679fae4e67ee892eb2fd94437777d8d8adc8fea97205065ec7f20aec0396f1a,bif,1003,102,200,3,1
munin3,munin3.bif.gz,4eb186935c12d47869d36403ab813af97d34b88dde66b79c0047386445058bf5,bif,1041,78,200,2,0
munin4,munin4.bif.gz,d01410d1f04631462927b160a518a030cf5f24ca57cdbbc259f29d84836d955b,bif,1038,22,200,4,0
pathfinder,pathfinder.bif.gz,1b23ccf9d398471c1c8e6353e8d11d8e3579537adc6bbbf535806d781f6e8e7f,bif,109,122,200,4,1
paths,paths.txt,6f7cd96cb402ddae8315cc966e1d3926d847c11bbf486b611cbff96eee4026b9,dagitty,17,14,200,98,96
pigs,pigs.bif.gz,618c72433d8814e5197f78938e9ef75cf91dfb9a7463952682b3703c8eef68f1,bif,441,0,200,2,0
sachs,sachs.bif.gz,ed1830fbde101ed50cce3c7a3c8cbf1d2f5225531cf35ff09fb3cec0af101bce,bif,11,17,110,22,22
survey,survey.bif.gz,676e1fe97efec18b31d1a0a3bcd9b7d52985129c60a78b69172c99e82902ef96,bif,6,0,30,13,0
water,water.bif.gz,5d506713902c9ea625fae7cd84d0a6f9fad980d5cca926281adeecdd0c039db3,bif,32,6,200,41,9
win95pts,win95pts.bif.gz,a4987cf8c09d3aa034504b03ea3e5dc01c57ca20228e2bd79ec9a861c3aef684,bif,76,12,200,5,0
