network,tier,x,y,arm,rep,true_dag_on_path,chat_source_sha256,generating_dag_sha256,k_sha256,n_k,status,committed_verdict,z_size,g0_undirected,k_g0,separation,separation_status,component_size,r_claim,r_claim_status,r_id,r_hop,hop_method,hop_exact,hop_lower_bound,phi_1,witness,n_wrong_claims,n_omitted,z_valid_at_truth,z_backdoor_at_truth,severity,bucket_B2_free_rule,bucket_B4_kg0,bucket_B5_k,bucket_B6_hop,bucket_B7_claim
Acid_1996,T2,x1,x6,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,1,0,1,1,benign,slack,slack,slack,held,held
Acid_1996,T2,x1,x7,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,2,0,1,1,measured,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x1,x9,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,2,0,1,1,measured,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x4,x1,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,0,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x4,x10,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x4,x11,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x4,x12,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x4,x13,D_LLM,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8c027a333a948b29,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x4->x1,1,0,0,0,validity,safe,safe,safe,safe,safe
Acid_1996,T2,x1,x10,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x11,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x12,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x13,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x14,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x15,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x16,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x17,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x18,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x3,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x4,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,0,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x5,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x6,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x7,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x9,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x1,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,y_not_possible_descendant,y_not_possible_descendant,,0,1,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x10,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x11,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x12,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x13,D_LLM_INSTR,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x10,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x11,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x12,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x13,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x14,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x15,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x16,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x17,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x18,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x3,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x4,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,0,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x5,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x6,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x7,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x9,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x1,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,y_not_possible_descendant,y_not_possible_descendant,,0,1,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x10,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x11,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x12,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x13,D_LLM_SRC,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x10,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x11,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x12,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x13,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x14,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,ok,closed_form,2,1,0,,no_z_member_in_component,2,,no_retractable_edges,,-1,no_retractable_edges,1,,,,0,1,1,1,benign,held,slack,slack,held,held
Acid_1996,T2,x1,x15,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x16,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,ok,closed_form,2,1,0,,no_z_member_in_component,2,,no_retractable_edges,,-1,no_retractable_edges,1,,,,0,1,1,1,benign,held,slack,slack,held,held
Acid_1996,T2,x1,x17,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x18,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x3,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,ok,closed_form,1,1,0,,no_z_member_in_component,2,,no_retractable_edges,,-1,no_retractable_edges,1,,,,0,1,1,1,benign,held,slack,slack,held,held
Acid_1996,T2,x1,x4,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x5,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x6,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,ok,closed_form,1,1,0,,no_z_member_in_component,2,,no_retractable_edges,,-1,no_retractable_edges,1,,,,0,1,1,1,benign,held,slack,slack,held,held
Acid_1996,T2,x1,x7,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x9,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x1,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x10,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x11,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x12,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x4,x13,D_SCRAMBLED,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,4f53cda18c2baa0c,0,not_amenable,not_amenable,,1,0,,,,,,,,,,,,,,,,,,,,,,
Acid_1996,T2,x1,x10,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x11,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x12,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x13,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x14,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x15,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x16,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x17,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x18,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,2,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x3,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x4,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,0,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x5,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x6,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x7,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x1,x9,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,ok,closed_form,1,0,1,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,1.0,x1->x4,0,0,1,1,benign,held,held,held,held,held
Acid_1996,T2,x4,x1,D_LLM_72B,0,via_Chat_only,db690f90d5a9215d,97c7c523883d0c20,8ccc93542a6c95c3,1,y_not_possible_descendant,y_not_possible_descendant,,0,1,,,,,,,,,,,,,,,,,,,,,,
