edge_string,n_directed,n_undirected,n_extensions,z_valid,z_is_optimal,mean_abs_bias,max_abs_bias,mean_abs_effect,shell,in_component,moves_from_g0,n_moves
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol CRP-Statin,9,2,4,True,True,1.49198687258989e-16,1.3322676295501878e-15,1.0822818063628599,3,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke,3
Age->BP Age->CVD BP->CVD CRP->Statin Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke,9,2,3,True,True,1.561843825566752e-16,1.3322676295501878e-15,1.0792591260555222,3,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient CRP->Statin,3
Age->BP Age->CVD BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Chol BMI-Smoke,9,2,3,True,True,1.5215331887937409e-16,1.3322676295501878e-15,1.0774419153683088,3,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient Statin->CRP,3
Age->BP Age->CVD BP->CVD Chol->CRP Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke CRP-Statin Chol-Statin,7,4,7,False,False,0.09332080182191106,3.7934865755696237,1.1335101793821762,3,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; un-orient Chol-Statin,3
Age->BP Age->CVD BP->CVD Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke CRP-Chol CRP-Statin,7,4,7,True,True,1.5611674899258205e-16,2.6922908347160046e-15,1.0784211328866453,3,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; un-orient CRP-Chol,3
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Statin Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol,10,1,2,True,True,1.4261633493356951e-16,1.3322676295501878e-15,1.1070462802931067,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient CRP->Statin,4
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD CRP-Statin,10,1,2,True,True,1.465320920157609e-16,8.881784197001252e-16,1.077786883693817,4,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke,4
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Chol,10,1,2,True,True,1.5362494262816107e-16,8.881784197001252e-16,1.1125916766987962,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient Statin->CRP,4
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->CRP Smoke->CVD Statin->BP Statin->CVD BMI-Chol CRP-Statin Chol-Statin,8,3,5,False,False,0.12348001968882696,3.290423085764114,1.1052188353469616,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient Chol-Statin,4
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol CRP-Chol CRP-Statin,8,3,5,True,True,1.575935833653813e-16,1.3322676295501878e-15,1.101623206023185,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol,4
Age->BP Age->CVD BP->CVD CRP->Statin Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke CRP-Chol,8,3,4,True,True,1.6405618725491565e-16,8.881784197001252e-16,1.0621751825971726,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; un-orient CRP-Chol ; orient CRP->Statin,4
Age->BP Age->CVD BP->CVD Chol->CRP Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Chol BMI-Smoke Chol-Statin,8,3,4,False,False,0.1652107589079827,3.0593612615882226,1.0870982125655158,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient Statin->CRP ; un-orient Chol-Statin,4
Age->BP Age->CVD BP->CVD Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke CRP-Chol CRP-Statin Chol-Statin,6,5,10,False,False,0.21118088989223774,4.430941026160076,1.1708208040686592,4,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; un-orient CRP-Chol ; un-orient Chol-Statin,4
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Statin Chol->BMI Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD,11,0,1,True,True,1.7868302323864604e-16,8.881784197001252e-16,1.113087547613237,5,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient CRP->Statin,5
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Statin Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol CRP-Chol,9,2,3,True,True,1.6863987781455073e-16,1.27675647831893e-15,1.0693153583842177,5,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Statin,5
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CRP Statin->CVD,11,0,1,True,True,1.6660284263281256e-16,1.3322676295501878e-15,1.1963885218128436,5,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient Statin->CRP,5
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Chol->CRP Smoke->CVD Statin->BP Statin->CVD CRP-Statin Chol-Statin,9,2,3,False,False,0.2069656803248018,3.358914897305196,1.0911636216831477,5,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient Chol-Statin,5
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Chol->Statin Smoke->CVD Statin->BP Statin->CVD CRP-Chol CRP-Statin,9,2,3,True,True,1.6136180933101762e-16,1.5543122344752192e-15,1.0850509137153581,5,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol,5
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->CRP Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Chol Chol-Statin,9,2,3,False,False,0.21853062217629945,3.2814609250153066,1.143557862596882,5,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient Statin->CRP ; un-orient Chol-Statin,5
Age->BP Age->CVD BMI->Smoke BP->CVD Smoke->CVD Statin->BP Statin->CVD BMI-Chol CRP-Chol CRP-Statin Chol-Statin,7,4,8,False,False,0.27174193943372277,4.713927360419822,1.1827911846225723,5,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; un-orient Chol-Statin,5
Age->BP Age->CVD BP->CVD CRP->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke CRP-Chol Chol-Statin,7,4,5,False,False,0.12696474805399616,3.367394487536873,1.146807485446066,5,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; un-orient CRP-Chol ; orient CRP->Statin ; un-orient Chol-Statin,5
Age->BP Age->CVD BP->CVD Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Chol BMI-Smoke CRP-Chol Chol-Statin,7,4,5,False,False,0.30700776058860324,5.872660618173863,1.1781445840440594,5,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; un-orient CRP-Chol ; orient Statin->CRP ; un-orient Chol-Statin,5
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Statin Chol->BMI Chol->Statin Smoke->CVD Statin->BP Statin->CVD CRP-Chol,10,1,2,True,True,1.6037518535405582e-16,1.5543122344752192e-15,1.0971946060549091,6,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Statin,6
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol CRP-Chol Chol-Statin,8,3,4,False,False,0.1770952897478416,4.150870597160856,1.1575489964548162,6,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Statin ; un-orient Chol-Statin,6
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Chol->CRP Smoke->CVD Statin->BP Statin->CRP Statin->CVD Chol-Statin,10,1,2,False,False,0.34112907819800786,2.968887749088103,1.140689252153417,6,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient Statin->CRP ; un-orient Chol-Statin,6
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Smoke->CVD Statin->BP Statin->CVD CRP-Chol CRP-Statin Chol-Statin,8,3,6,False,False,0.3516064462995688,5.203827571190498,1.2393986671925394,6,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; un-orient Chol-Statin,6
Age->BP Age->CVD BMI->Smoke BP->CVD Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Chol CRP-Chol Chol-Statin,8,3,4,False,False,0.3424227950312466,4.00535212857733,1.21153942029574,6,True,un-orient BMI-Chol ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient Statin->CRP ; un-orient Chol-Statin,6
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Chol CRP->Statin Chol->BMI Chol->Statin Smoke->CVD Statin->BP Statin->CVD,11,0,1,True,True,1.9967751410665536e-16,1.3322676295501878e-15,1.0652445083651265,7,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Chol ; orient CRP->Statin,7
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Chol Chol->BMI Smoke->CVD Statin->BP Statin->CVD CRP-Statin Chol-Statin,9,2,3,False,False,0.5029656193819436,8.278639622520526,1.2580138366760794,7,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Chol ; un-orient Chol-Statin,7
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Statin Chol->BMI Smoke->CVD Statin->BP Statin->CVD CRP-Chol Chol-Statin,9,2,3,False,False,0.22440722747524408,3.3844435345001878,1.2150922348649444,7,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Statin ; un-orient Chol-Statin,7
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Chol->CRP Smoke->CVD Statin->BP Statin->CRP Statin->CVD Statin->Chol,11,0,1,False,False,0.6424011741113063,2.48925350997576,1.3443805523668593,7,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; orient Statin->CRP ; un-orient Chol-Statin ; orient Statin->Chol,7
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Smoke->CVD Statin->BP Statin->CRP Statin->CVD CRP-Chol Chol-Statin,9,2,3,False,False,0.46243805912636055,4.882763283077013,1.1630658347789793,7,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient Statin->CRP ; un-orient Chol-Statin,7
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Smoke->CVD Statin->BP Statin->CVD Statin->Chol CRP-Chol CRP-Statin,9,2,3,False,False,0.6749749220680171,6.666671014281178,1.3665201263856943,7,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; un-orient Chol-Statin ; orient Statin->Chol,7
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Chol CRP->Statin Chol->BMI Smoke->CVD Statin->BP Statin->CVD Chol-Statin,10,1,2,False,False,0.3676141809039096,2.951025892898052,1.2582722909224904,8,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Chol ; orient CRP->Statin ; un-orient Chol-Statin,8
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Chol Chol->BMI Smoke->CVD Statin->BP Statin->CVD Statin->Chol CRP-Statin,10,1,2,False,False,0.7346179477340257,4.59685291292806,1.4028703894537249,8,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Chol ; un-orient Chol-Statin ; orient Statin->Chol,8
Age->BP Age->CVD BMI->Smoke BP->CVD Chol->BMI Smoke->CVD Statin->BP Statin->CRP Statin->CVD Statin->Chol CRP-Chol,10,1,2,False,False,0.7253746731656109,5.261508981987634,1.2838261469702945,8,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient Statin->CRP ; un-orient Chol-Statin ; orient Statin->Chol,8
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Chol CRP->Statin Chol->BMI Smoke->CVD Statin->BP Statin->CVD Statin->Chol,11,0,1,False,False,0.6185550647715237,2.847972428501459,1.3233687724916527,9,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Chol ; orient CRP->Statin ; un-orient Chol-Statin ; orient Statin->Chol,9
Age->BP Age->CVD BMI->Smoke BP->CVD CRP->Chol Chol->BMI Smoke->CVD Statin->BP Statin->CRP Statin->CVD Statin->Chol,11,0,1,False,False,0.9252607040352955,6.006669942835629,1.4381581554550287,9,True,un-orient BMI-Chol ; orient Chol->BMI ; un-orient BMI-Smoke ; orient BMI->Smoke ; un-orient CRP-Chol ; orient CRP->Chol ; orient Statin->CRP ; un-orient Chol-Statin ; orient Statin->Chol,9
